Country,Category
Afghanistan,Under Developing Country
Albania,Developing Country
Algeria,Developing Country
Angola,Under Developing Country
Antigua and Barbuda,Developing Country
Argentina,Developing Country
Armenia,Developing Country
Australia,Developed Country
Austria,Developed Country
Azerbaijan,Developing Country
Bahamas,Developing Country
Bahrain,Developing Country
Bangladesh,Developing Country
Barbados,Developing Country
Belarus,Developing Country
Belgium,Developed Country
Belize,Developing Country
Benin,Under Developing Country
Bhutan,Developing Country
Bolivia,Developing Country
Bosnia and Herzegovina,Developing Country
Botswana,Under Developing Country
Brazil,Developing Country
Brunei,Developed Country
Bulgaria,Developing Country
Burkina Faso,Under Developing Country
Burundi,Under Developing Country
Cambodia,Developing Country
Cameroon,Under Developing Country
Canada,Developed Country
Cape Verde,Developing Country
Central African Republic,Under Developing Country
Chad,Under Developing Country
Chile,Developing Country
China,Developing Country
Colombia,Developing Country
Comoros,Under Developing Country
"Congo, Dem. Rep.",Under Developing Country
"Congo, Rep.",Under Developing Country
Costa Rica,Developing Country
Cote d'Ivoire,Under Developing Country
Croatia,Developing Country
Cyprus,Developed Country
Czech Republic,Developed Country
Denmark,Developed Country
Dominican Republic,Developing Country
Ecuador,Developing Country
Egypt,Developing Country
El Salvador,Developing Country
Equatorial Guinea,Under Developing Country
Eritrea,Under Developing Country
Estonia,Developing Country
Fiji,Developing Country
Finland,Developed Country
France,Developed Country
Gabon,Under Developing Country
Gambia,Under Developing Country
Georgia,Developing Country
Germany,Developed Country
Ghana,Under Developing Country
Greece,Developed Country
Grenada,Developing Country
Guatemala,Developing Country
Guinea,Under Developing Country
Guinea-Bissau,Under Developing Country
Guyana,Developing Country
Haiti,Under Developing Country
Hungary,Developing Country
Iceland,Developed Country
India,Developing Country
Indonesia,Developing Country
Iran,Developing Country
Iraq,Under Developing Country
Ireland,Developed Country
Israel,Developed Country
Italy,Developed Country
Jamaica,Developing Country
Japan,Developed Country
Jordan,Developing Country
Kazakhstan,Developing Country
Kenya,Under Developing Country
Kiribati,Under Developing Country
Kuwait,Developed Country
Kyrgyz Republic,Developing Country
Lao,Under Developing Country
Latvia,Developing Country
Lebanon,Developing Country
Lesotho,Under Developing Country
Liberia,Under Developing Country
Libya,Developing Country
Lithuania,Developing Country
Luxembourg,Developed Country
"Macedonia, FYR",Developing Country
Madagascar,Under Developing Country
Malawi,Under Developing Country
Malaysia,Developing Country
Maldives,Developing Country
Mali,Under Developing Country
Malta,Developed Country
Mauritania,Under Developing Country
Mauritius,Developing Country
"Micronesia, Fed. Sts.",Developing Country
Moldova,Developing Country
Mongolia,Developing Country
Montenegro,Developing Country
Morocco,Developing Country
Mozambique,Under Developing Country
Myanmar,Developing Country
Namibia,Under Developing Country
Nepal,Developing Country
Netherlands,Developed Country
New Zealand,Developed Country
Niger,Under Developing Country
Nigeria,Under Developing Country
Norway,Developed Country
Oman,Developing Country
Pakistan,Under Developing Country
Panama,Developing Country
Paraguay,Developing Country
Peru,Developing Country
Philippines,Developing Country
Poland,Developing Country
Portugal,Developed Country
Qatar,Developed Country
Romania,Developing Country
Russia,Developing Country
Rwanda,Under Developing Country
Samoa,Developing Country
Saudi Arabia,Developing Country
Senegal,Under Developing Country
Serbia,Developing Country
Seychelles,Developing Country
Sierra Leone,Under Developing Country
Singapore,Developed Country
Slovak Republic,Developed Country
Slovenia,Developed Country
Solomon Islands,Under Developing Country
South Africa,Under Developing Country
South Korea,Developed Country
Spain,Developed Country
Sri Lanka,Developing Country
St. Vincent and the Grenadines,Developing Country
Sudan,Under Developing Country
Suriname,Developing Country
Sweden,Developed Country
Switzerland,Developed Country
Tajikistan,Developing Country
Tanzania,Under Developing Country
Thailand,Developing Country
Timor-Leste,Under Developing Country
Togo,Under Developing Country
Tonga,Developing Country
Tunisia,Developing Country
Turkey,Developing Country
Turkmenistan,Developing Country
Uganda,Under Developing Country
Ukraine,Developing Country
United Arab Emirates,Developed Country
United Kingdom,Developed Country
United States,Developed Country
Uruguay,Developing Country
Uzbekistan,Developing Country
Vanuatu,Developing Country
Venezuela,Developing Country
Vietnam,Developing Country
Yemen,Under Developing Country
Zambia,Under Developing Country
